Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR,power_level
Flying Crane Technique,WUR,R,8964,81.2,52.8,1415,52.4%,1
Bloodfire Expert,R,C,29275,52.8,52.8,4887,52.4%,0
Witness of the Ages,,U,10553,43.7,52.8,1856,50.9%,0
Dig Through Time,U,R,6189,75.4,52.8,1030,51.2%,1
Scion of Glaciers,U,U,13688,58.5,52.6,2278,51.7%,0
Jeskai Windscout,U,C,52592,85.1,52.6,9239,52.9%,1
Death Frenzy,BG,U,15449,68.5,52.6,2532,52.0%,0
Ainok Tracker,R,C,27758,42.9,52.6,4767,50.8%,0
Winterflame,UR,U,19906,85.2,52.5,3400,52.7%,1
Villainous Wealth,UBG,R,8297,82.1,52.5,1266,48.9%,1
Dragon's Eye Savants,U,U,20121,74.7,52.5,3599,52.4%,1
Pearl Lake Ancient,U,M,4097,86.7,52.4,621,48.1%,1
Despise,B,U,6832,40.7,52.4,1172,54.0%,0
Scout the Borders,G,C,11994,21.1,52.4,2033,51.0%,0
Treasure Cruise,U,C,51811,80.3,52.4,8108,48.8%,1
Incremental Growth,G,U,14175,71.4,52.4,2104,50.9%,1
Dragon-Style Twins,R,R,8189,90.1,52.3,1266,50.8%,1
Molting Snakeskin,B,C,5227,10.3,52.2,736,50.3%,0
Sidisi's Pet,B,C,26826,44.2,52.2,4599,50.1%,0
"Narset, Enlightened Master",WUR,M,2494,64.7,52.2,379,,0
Avalanche Tusker,URG,R,6249,71.7,52.2,1051,53.1%,1
Kin-Tree Warden,G,C,24294,42.8,52.1,4222,50.7%,0
Trap Essence,URG,R,4378,54.6,52.1,736,52.3%,0
Dazzling Ramparts,W,U,3263,16.2,52.1,499,,0
Polluted Delta,,R,5436,71.6,52.1,978,52.5%,1
Shambling Attendants,B,C,16556,29.6,52.1,2499,49.4%,0
Blinding Spray,U,U,7642,31.8,52.0,1147,52.6%,0
Meandering Towershell,G,R,6208,81.0,51.9,1016,49.7%,1
Wooded Foothills,,R,5204,68.9,51.9,928,50.5%,0
Mardu Banner,,C,10295,20.4,51.9,1892,50.3%,0
Monastery Flock,U,C,36290,54.9,51.8,6370,50.6%,0
Firehoof Cavalry,W,C,10387,20.0,51.8,1830,52.5%,0
Weave Fate,U,C,27223,48.5,51.8,4582,49.9%,0
Wetland Sambar,U,C,21947,31.3,51.7,3716,51.8%,0
Flooded Strand,,R,5523,73.6,51.6,988,54.1%,1
Briber's Purse,,U,2448,10.9,51.6,384,,0
Riverwheel Aerialists,U,U,17301,82.1,51.5,2694,49.9%,1
Retribution of the Ancients,B,R,1206,16.3,51.5,202,,0
Clever Impersonator,U,M,3093,84.8,51.3,513,51.7%,1
Waterwhirl,U,U,12806,50.9,51.2,1898,50.6%,0
Secret Plans,UG,U,20469,78.0,51.1,3521,51.7%,1
Dragon Grip,R,U,6664,35.0,50.8,1015,50.6%,0
Embodiment of Spring,U,C,21828,45.7,50.7,3748,51.2%,0
Rotting Mastodon,B,C,4469,8.1,50.7,741,46.3%,0
Rakshasa Vizier,UBG,R,4412,56.6,50.7,744,51.9%,0
Venerable Lammasu,W,U,4924,25.8,50.6,673,47.8%,0
Whirlwind Adept,U,C,16524,31.8,50.6,2572,50.9%,0
Sultai Banner,,C,11024,21.1,50.5,1969,49.5%,0
Jeskai Banner,,C,9303,18.2,50.5,1636,49.7%,0
Scaldkin,U,C,19924,36.5,50.3,3220,47.1%,0
Tomb of the Spirit Dragon,,U,674,2.9,50.3,106,,0
Temur Banner,,C,8434,16.4,50.3,1572,50.0%,0
Swift Kick,R,C,14007,27.6,50.3,2124,46.5%,0
Deflecting Palm,WR,R,2931,50.3,50.1,443,,0
Mindswipe,UR,R,5945,73.4,49.9,900,48.6%,1
Singing Bell Strike,U,C,17824,41.8,49.7,2950,48.4%,0
Seek the Horizon,G,U,3603,21.0,49.7,589,47.7%,0
Dragon Throne of Tarkir,,R,1853,30.2,49.6,283,,0
Jeskai Ascendancy,WUR,R,5706,68.8,49.5,931,45.1%,0
Stubborn Denial,U,U,3694,21.4,49.4,623,49.4%,0
Temur Ascendancy,URG,R,3542,49.1,49.3,622,48.4%,0
Mardu Blazebringer,R,U,2820,14.1,48.9,470,,0
Hardened Scales,G,R,1837,36.0,48.3,360,,0
Kheru Dreadmaw,B,C,3595,6.5,48.2,528,45.1%,0
Kheru Lich Lord,UBG,R,4646,63.5,48.1,729,42.7%,0
Bloodfire Mentor,R,C,7014,12.4,48.0,1210,44.9%,0
Siegecraft,W,C,2111,4.1,47.7,324,,0
Howl of the Horde,R,R,2001,26.6,47.7,313,,0
Goblinslide,R,U,8205,45.2,47.6,1399,44.4%,0
Sultai Ascendancy,UBG,R,2784,36.7,47.4,491,,0
Windstorm,G,U,627,3.1,47.4,93,,0
Brave the Sands,W,U,2242,17.2,47.2,359,,0
Empty the Pits,B,M,1393,41.0,47.2,221,,0
Feed the Clan,G,C,1539,3.1,47.0,231,,0
Cranial Archive,,U,557,2.6,46.9,97,,0
Quiet Contemplation,U,U,4387,23.6,45.9,721,41.3%,0
Taigam's Scheming,U,C,4225,8.5,45.8,713,43.9%,0
Altar of the Brood,,R,695,11.1,41.7,114,,0
Bonehoard Dracosaur,R,M,22445,93.4,60.4,3885,69.8%,4
Kitesail Larcenist,U,R,49526,91.5,59.8,8818,64.5%,4
Palani's Hatcher,RG,R,43922,87.7,59.7,7456,67.8%,4
Sanguine Evangelist,W,R,46041,89.7,59.5,8253,67.0%,4
"Breeches, Eager Pillager",R,R,46225,91.2,59.5,8467,65.7%,4
"Aclazotz, Deepest Betrayal",B,M,19538,87.5,59.1,3402,67.5%,4
Magmatic Galleon,R,R,46222,89.4,59.0,7620,65.2%,4
Zoetic Glyph,U,U,185761,88.9,59.0,31356,64.5%,4
Spyglass Siren,U,U,173824,90.2,58.9,31214,65.6%,4
Staunch Crewmate,U,U,169256,85.6,58.9,30311,61.3%,4
Unstable Glyphbridge,W,R,44588,87.4,58.8,7591,62.9%,3
"Itzquinth, Firstborn of Gishath",RG,U,99487,76.5,58.5,17441,60.1%,3
"Huatli, Poet of Unity",G,M,19475,85.8,58.3,3536,66.6%,3
Pugnacious Hammerskull,G,R,36256,85.7,58.3,6684,66.4%,3
Sentinel of the Nameless City,G,R,39025,87.7,58.3,7031,67.1%,3
Warden of the Inner Sky,W,R,43686,88.6,58.2,7903,66.1%,3
"Akal Pakal, First Among Equals",U,R,50112,90.4,58.2,8880,65.9%,3
Geological Appraiser,R,U,148975,89.3,58.0,25131,59.4%,3
Trumpeting Carnosaur,R,R,42870,90.7,58.0,7134,61.5%,3
"Inti, Seneschal of the Sun",R,R,43688,90.7,57.8,8019,64.9%,3
Ruin-Lurker Bat,W,U,152255,87.0,57.7,27384,63.9%,3
Resplendent Angel,W,M,20166,87.7,57.7,3560,60.8%,3
Clay-Fired Bricks,W,U,175283,85.7,57.6,31602,59.0%,3
Waterwind Scout,U,C,454488,90.6,57.6,79878,58.5%,3
"Captain Storm, Cosmium Raider",UR,U,132383,74.9,57.6,23255,62.7%,3
Miner's Guidewing,W,C,373442,84.6,57.6,66982,61.7%,3
Cogwork Wrestler,U,C,366137,75.9,57.5,62269,57.6%,3
Intrepid Paleontologist,G,R,34326,84.6,57.5,6352,62.8%,3
"Ojer Kaslem, Deepest Growth",G,M,17723,86.1,57.5,3085,64.7%,3
Etali's Favor,R,C,326164,76.5,57.4,54200,57.1%,3
Thousand Moons Smithy,W,R,44176,90.0,57.4,7550,62.9%,3
Oaken Siren,U,C,415272,87.3,57.4,73957,58.9%,3
Oltec Cloud Guard,W,C,396967,88.6,57.4,66390,58.4%,3
Lodestone Needle,U,U,189407,87.2,57.3,32057,55.4%,3
"Malcolm, Alluring Scoundrel",U,R,44590,89.5,57.3,8044,64.0%,3
Spring-Loaded Sawblades,W,U,160560,88.2,57.2,27943,59.4%,3
Subterranean Schooner,U,R,46596,89.2,57.2,8371,66.6%,3
"Chimil, the Inner Sun",,M,22010,95.7,57.2,3744,61.5%,3
Inverted Iceberg,U,C,353778,77.0,57.2,62104,57.4%,3
Belligerent Yearling,R,U,123013,87.8,57.1,22443,59.2%,3
Unlucky Drop,U,C,201264,45.2,57.0,31615,54.9%,0
Goblin Tomb Raider,R,C,326876,74.1,57.0,57890,59.6%,2
Volatile Wanderglyph,R,C,358974,83.7,57.0,64905,59.0%,3
Restless Ridgeline,,R,25050,65.9,56.9,4675,62.1%,2
Preacher of the Schism,B,R,38691,86.9,56.9,6905,66.1%,3
"Anim Pakal, Thousandth Moon",WR,R,41223,84.5,56.9,7173,63.4%,3
"Kellan, Daring Traveler",W,R,40928,85.3,56.9,7424,62.3%,3
Dreadmaw's Ire,R,U,133260,83.1,56.9,21538,56.7%,3
Quintorius Kand,WR,M,21112,90.5,56.8,3609,62.2%,3
Restless Anchorage,,R,33606,69.2,56.8,6253,60.3%,2
Petrify,W,C,325454,87.7,56.7,54842,56.1%,3
Plundering Pirate,R,C,352235,86.7,56.7,61872,57.1%,3
The Skullspore Nexus,G,M,16779,83.1,56.7,2705,59.4%,3
Dire Flail,R,R,44515,85.6,56.7,7538,59.2%,3
Pathfinding Axejaw,G,C,271412,86.6,56.6,45713,58.0%,3
Waylaying Pirates,U,C,296703,71.4,56.6,47291,54.1%,2
Triumphant Chomp,R,U,117764,83.4,56.6,19950,56.6%,3
Cenote Scout,G,U,105143,80.5,56.6,19276,61.1%,3
Armored Kincaller,G,C,248037,78.7,56.6,43603,56.7%,3
Brackish Blunder,U,C,284541,67.9,56.6,47388,54.9%,2
Deep-Cavern Bat,B,U,118621,83.5,56.5,21324,64.0%,3
Dusk Rose Reliquary,W,U,126510,84.9,56.5,20677,56.0%,3
Sunshot Militia,R,C,295504,70.9,56.5,51827,55.7%,2
Staggering Size,G,C,173209,52.1,56.4,26869,55.9%,1
Vanguard of the Rose,W,U,118600,77.9,56.4,20795,56.9%,3
Huatli's Final Strike,G,C,256998,84.4,56.3,41378,54.9%,3
Tinker's Tote,W,C,343590,86.0,56.3,59571,55.8%,3
Poison Dart Frog,G,C,267208,87.2,56.3,48947,60.3%,3
Saheeli's Lattice,R,U,116491,68.7,56.3,20802,56.1%,2
Bedrock Tortoise,G,R,35256,83.3,56.3,6108,62.0%,3
Malamet Battle Glyph,G,U,99266,82.5,56.2,15919,56.2%,3
Burning Sun Cavalry,R,C,173727,54.2,56.2,30771,56.5%,1
Diamond Pick-Axe,R,U,122692,82.0,56.2,21028,58.7%,3
Kinjalli's Dawnrunner,W,U,114750,84.3,56.2,20081,56.5%,3
Scytheclaw Raptor,R,U,113505,89.3,56.2,19939,56.8%,3
Sunfire Torch,R,C,297045,70.3,56.1,49644,55.5%,2
Ironpaw Aspirant,W,C,316388,80.6,56.1,56385,55.5%,3
Deconstruction Hammer,W,C,202704,53.1,56.1,33418,56.0%,1
"Abuelo, Ancestral Echo",WU,R,36600,76.3,56.1,6249,57.1%,3
"Ojer Pakpatiq, Deepest Epoch",U,M,19666,87.2,56.1,3339,60.5%,3
Earthshaker Dreadmaw,G,U,86172,82.8,56.0,13434,55.6%,3
The Everflowing Well,U,R,34194,77.6,56.0,5810,57.4%,3
Ixalli's Lorekeeper,G,U,66438,64.0,56.0,12065,60.0%,2
Ancestors' Aid,R,C,153125,44.8,56.0,24462,55.3%,1
Orazca Puzzle-Door,U,C,180027,43.0,55.9,31619,55.3%,1
Tendril of the Mycotyrant,G,U,93342,78.6,55.9,16343,55.5%,2
Cavern Stomper,G,C,191833,68.0,55.9,29409,55.7%,2
Guardian of the Great Door,W,U,120523,87.3,55.8,19584,55.7%,2
Dinotomaton,R,C,236590,73.9,55.8,38430,55.1%,2
Chupacabra Echo,B,U,118410,88.1,55.8,19754,56.5%,2
Master's Guide-Mural,WU,U,137399,73.5,55.8,22577,55.6%,2
Braided Net,U,R,43232,84.8,55.8,7303,54.3%,2
Panicked Altisaur,R,C,195961,67.4,55.8,30746,55.2%,2
Hulking Raptor,G,R,31237,85.0,55.8,5379,60.7%,2
Colossadactyl,G,U,99759,88.3,55.8,16564,57.0%,2
Jadelight Spelunker,G,R,33959,83.7,55.8,6050,57.7%,2
Chart a Course,U,U,116555,77.0,55.7,19994,54.7%,2
"Ojer Axonil, Deepest Might",R,M,16325,82.2,55.7,2740,57.2%,2
Hermitic Nautilus,U,U,124428,80.3,55.7,21739,55.7%,2
Market Gnome,W,U,89253,70.8,55.6,15737,57.3%,2
Pirate Hat,U,C,130372,35.2,55.6,21250,54.7%,1
Scampering Surveyor,,U,127427,84.4,55.6,21973,56.8%,2
Attentive Sunscribe,W,C,254474,72.9,55.6,45612,55.7%,2
Hidden Cataract,,C,272594,80.6,55.6,48153,56.2%,2
Hidden Volcano,,C,242174,82.3,55.5,42812,56.0%,2
Roaming Throne,,R,42694,97.2,55.5,7202,57.7%,2
Shipwreck Sentry,U,C,214821,53.8,55.5,37441,55.0%,1
Acrobatic Leap,W,C,54209,16.7,55.5,8145,54.4%,1
Hidden Courtyard,,C,242616,79.4,55.5,42743,56.0%,2
Idol of the Deep King,R,C,242933,72.2,55.5,40953,53.6%,2
Quicksand Whirlpool,W,C,201867,68.6,55.4,32450,54.1%,2
Caparocti Sunborn,WR,U,102896,72.6,55.4,17009,57.1%,2
The Belligerent,UR,R,36015,74.5,55.3,6044,56.9%,2
Hidden Nursery,,C,204405,81.1,55.3,36296,56.2%,2
Poetic Ingenuity,R,R,38387,83.0,55.3,6732,62.7%,2
Jade Seedstones,G,U,80232,61.4,55.1,12299,54.2%,2
Explorer's Cache,G,U,59015,51.7,55.1,9916,56.7%,1
Starving Revenant,B,R,33118,83.9,55.1,5599,58.1%,2
River Herald Guide,G,C,197860,70.5,54.9,34970,54.9%,2
Deepfathom Echo,UG,R,31343,71.4,54.9,5264,59.5%,2
Nurturing Bristleback,G,C,181899,70.1,54.9,30508,53.0%,2
Threefold Thunderhulk,,R,42368,94.4,54.7,6789,54.5%,2
Malamet War Scribe,W,U,83430,69.0,54.7,12628,53.6%,2
Restless Prairie,,R,19539,52.5,54.7,3692,57.6%,1
River Herald Scout,U,C,245260,67.9,54.7,43253,54.8%,2
Twists and Turns,G,U,82294,61.9,54.6,13639,53.0%,2
Tishana's Tidebinder,U,R,35270,82.2,54.6,5953,55.2%,2
Rampaging Ceratops,R,U,61629,65.2,54.6,9412,53.4%,2
"Saheeli, the Sun's Brilliance",UR,M,14600,69.9,54.6,2544,53.9%,2
Adaptive Gemguard,W,C,188257,62.7,54.6,30431,53.3%,2
Captivating Cave,,C,233348,81.1,54.5,41428,54.5%,2
"Kutzil, Malamet Exemplar",WG,U,59915,55.1,54.5,10243,57.0%,1
Soaring Sandwing,W,C,158092,53.8,54.5,26389,52.3%,1
Kutzil's Flanker,W,R,29738,82.3,54.5,5115,53.1%,2
Careening Mine Cart,,U,102991,73.1,54.4,17726,55.1%,2
Oltec Archaeologists,W,C,81223,27.5,54.4,12505,52.3%,1
Enterprising Scallywag,R,U,95118,79.3,54.4,17049,54.7%,2
Malamet Scythe,G,C,51921,20.3,54.3,8113,53.8%,1
Tithing Blade,B,C,211835,76.5,54.3,37195,55.7%,2
Dowsing Device,R,U,88480,56.4,54.3,14814,53.1%,1
Seismic Monstrosaur,R,C,160184,59.9,54.3,26587,51.6%,1
Dauntless Dismantler,W,U,57710,48.4,54.3,10061,53.8%,1
Eaten by Piranhas,U,U,87017,71.7,54.3,14535,53.1%,2
Oteclan Landmark,W,C,111586,37.0,54.2,19789,51.8%,1
Digsite Conservator,,U,92339,69.2,54.2,16605,52.6%,2
Defossilize,B,U,94467,75.4,54.2,15028,55.2%,1
Goldfury Strider,R,U,50318,41.1,54.1,7807,51.3%,1
Bitter Triumph,B,U,96269,86.6,54.1,16443,54.2%,2
Might of the Ancestors,W,U,34365,35.3,54.1,5550,52.1%,1
In the Presence of Ages,G,C,41474,15.9,54.0,7035,53.4%,1
Mischievous Pup,W,U,85238,68.7,54.0,14235,50.9%,1
Council of Echoes,U,U,68973,55.7,54.0,10402,51.8%,1
Coati Scavenger,G,U,72467,67.5,54.0,11818,50.2%,1
Bringer of the Last Gift,B,R,27381,73.2,54.0,4274,56.3%,1
"Ojer Taq, Deepest Foundation",W,M,14395,78.9,53.9,2390,54.2%,1
Stalactite Stalker,B,R,28768,82.7,53.9,5168,58.6%,1
Helping Hand,W,U,35639,33.4,53.9,5532,51.8%,1
Deathcap Marionette,B,C,242438,77.7,53.9,43065,55.0%,1
Souls of the Lost,B,R,27729,81.5,53.9,4776,52.8%,1
Cartographer's Companion,,C,175237,49.9,53.8,30309,51.3%,1
Another Chance,B,C,210403,62.3,53.8,34050,51.8%,1
Hidden Necropolis,,C,204918,78.1,53.8,36317,55.4%,1
Echo of Dusk,B,C,208074,72.7,53.8,36293,53.4%,1
Thousand Moons Crackshot,W,C,68463,23.6,53.8,11917,52.6%,1
Cosmium Blast,W,C,146145,57.8,53.7,24543,52.9%,1
Mineshaft Spider,G,C,115727,40.1,53.7,19010,52.9%,1
Daring Discovery,R,C,33840,11.8,53.7,4876,52.1%,1
Envoy of Okinec Ahau,W,C,104350,39.5,53.6,17594,52.2%,1
Corpses of the Lost,B,R,33167,80.6,53.6,5846,56.7%,1
Restless Reef,,R,21617,55.2,53.6,3985,58.2%,1
Malamet Brawler,G,C,91184,34.5,53.6,16088,52.7%,1
Join the Dead,B,C,245870,87.1,53.6,41011,53.0%,1
Confounding Riddle,U,U,67843,52.6,53.6,11291,52.4%,1
"Akawalli, the Seething Tower",BG,U,58476,58.9,53.4,9897,53.2%,1
Sunken Citadel,,R,28414,80.9,53.4,5175,54.0%,1
Skullcap Snail,B,C,210020,72.3,53.4,36713,54.4%,1
Fanatical Offering,B,C,134480,50.5,53.4,22121,53.3%,1
Visage of Dread,B,U,98965,73.0,53.4,17480,55.8%,1
Rampaging Spiketail,B,C,172650,65.4,53.3,29316,51.9%,1
Bloodletter of Aclazotz,B,M,12785,77.1,53.3,2152,53.4%,1
Brazen Blademaster,R,C,130540,43.2,53.3,21842,50.8%,1
Glorifier of Suffering,W,C,164747,57.2,53.3,26983,50.9%,1
Hotfoot Gnome,R,C,81741,28.3,53.3,13614,50.7%,1
Terror Tide,B,R,29497,78.5,53.3,4828,53.0%,1
The Ancient One,UB,M,9899,59.5,53.2,1663,55.8%,1
Synapse Necromage,B,U,67391,65.7,53.2,11709,54.4%,1
Hoverstone Pilgrim,,U,48826,36.6,53.1,7793,50.7%,0
Compass Gnome,,C,186011,55.2,53.1,34667,52.6%,1
Wail of the Forgotten,UB,R,16189,43.7,53.1,2636,51.8%,0
Molten Collapse,BR,R,16836,51.7,53.1,2886,53.0%,1
Sage of Days,U,C,85170,25.9,53.1,14548,52.9%,0
Cosmium Confluence,G,R,18591,52.1,53.1,3062,51.8%,1
Promising Vein,,C,180633,67.5,53.0,32926,53.1%,0
Brass's Tunnel-Grinder,R,R,27375,76.9,53.0,4571,54.5%,1
Stinging Cave Crawler,B,U,82683,83.1,53.0,14187,51.6%,1
Sovereign Okinec Ahau,WG,M,11355,65.9,52.9,1901,57.0%,0
Restless Vents,,R,15007,44.6,52.9,2712,57.5%,0
Sinuous Benthisaur,U,U,50294,35.4,52.9,7799,51.2%,0
Walk with the Ancestors,G,C,55050,22.4,52.9,8204,50.2%,0
Glimpse the Core,G,U,31097,35.9,52.9,5420,53.0%,0
Treasure Map,,R,31313,87.7,52.8,5752,51.0%,1
Runaway Boulder,,C,45293,16.7,52.8,7508,49.4%,0
Sunbird Standard,,U,46220,33.5,52.8,8247,53.7%,0
Relic's Roar,U,C,16187,5.3,52.7,2449,49.9%,0
Family Reunion,W,C,21018,8.3,52.6,3135,51.3%,0
Throne of the Grim Captain,,R,17044,39.4,52.6,3062,59.2%,0
Ray of Ruin,B,C,111613,47.1,52.5,17489,52.0%,0
Soulcoil Viper,B,U,72615,71.8,52.5,12267,51.6%,1
Merfolk Cave-Diver,U,U,38751,36.4,52.4,6665,52.6%,0
Curator of Sun's Creation,R,U,33042,33.7,52.4,5551,51.5%,0
"Uchbenbak, the Great Mistake",UB,U,57107,52.4,52.4,9012,51.6%,0
Tarrian's Soulcleaver,,R,21751,81.0,52.3,3859,53.0%,1
Malamet Veteran,G,C,61020,27.5,52.3,9497,50.8%,0
"Vito, Fanatic of Aclazotz",WB,M,11368,65.4,52.3,1904,57.0%,0
Get Lost,W,R,16594,66.0,52.2,2777,49.2%,0
"Ghalta, Stampede Tyrant",G,M,7121,59.8,52.2,1084,51.7%,0
Ancestral Reminiscence,U,C,33581,11.4,52.1,5428,49.3%,0
Primordial Gnawer,B,C,61447,24.6,52.1,9706,52.3%,0
Tarrian's Journal,B,R,27155,77.7,52.0,4707,51.3%,1
Didact Echo,U,C,80580,26.2,52.0,12524,49.7%,0
Zoyowa Lava-Tongue,BR,U,44639,47.1,52.0,7717,53.5%,0
Over the Edge,G,C,62712,28.5,51.9,10123,50.1%,0
Fungal Fortitude,B,C,45831,19.9,51.9,7283,51.5%,0
Self-Reflection,U,U,21445,17.7,51.8,3246,48.2%,0
Bartolomé del Presidio,WB,U,44460,45.4,51.8,7745,51.6%,0
Forgotten Monument,,U,53116,43.0,51.8,9301,52.4%,0
Hunter's Blowgun,,C,21043,9.0,51.8,3438,49.3%,0
Marauding Brinefang,U,C,108812,37.1,51.7,18433,49.1%,0
"Nicanzil, Current Conductor",UG,U,39705,40.9,51.7,6914,54.8%,0
Basking Capybara,G,C,76266,30.6,51.7,13336,49.9%,0
Hurl into History,U,U,24887,20.7,51.6,3823,50.3%,0
Cavern of Souls,,M,3971,33.5,51.6,688,53.2%,0
Seeker of Sunlight,G,C,54815,26.5,51.6,9817,51.6%,0
Thousand Moons Infantry,W,C,40135,15.8,51.5,6790,50.4%,0
Abuelo's Awakening,W,R,8313,26.2,51.5,1250,46.4%,0
Out of Air,U,C,40432,13.4,51.4,6484,50.3%,0
Mephitic Draught,B,C,83568,33.0,51.3,14675,51.2%,0
Gargantuan Leech,B,U,41137,37.1,51.3,6448,49.0%,0
"Gishath, Sun's Avatar",WRG,M,7428,56.4,51.3,1114,49.0%,0
Waterlogged Hulk,U,U,36005,23.2,51.2,6046,50.4%,0
Calamitous Cave-In,R,U,34821,25.1,51.2,5673,48.5%,0
Screaming Phantom,B,C,115082,49.7,51.2,19913,49.9%,0
Cavernous Maw,,U,33306,31.2,51.1,5538,50.7%,0
Greedy Freebooter,B,C,85986,39.4,51.0,15186,52.9%,0
Abyssal Gorestalker,B,U,25914,28.1,51.0,3905,51.2%,0
Bat Colony,W,U,31723,27.3,50.9,5291,51.3%,0
Queen's Bay Paladin,B,R,15621,51.5,50.9,2418,49.1%,0
Fabrication Foundry,W,R,2630,12.3,50.8,429,,0
Amalia Benavides Aguirre,WB,R,11248,38.5,50.7,1953,51.0%,0
Song of Stupefaction,U,C,32676,10.9,50.7,5284,48.4%,0
The Mycotyrant,BG,M,9300,61.6,50.6,1635,50.0%,0
Grasping Shadows,B,U,57139,52.5,50.6,9295,46.7%,0
Glowcap Lantern,G,U,23972,30.2,50.4,3958,48.7%,0
Buried Treasure,,C,48789,20.0,50.3,8532,47.2%,0
Swashbuckler's Whip,,U,6753,6.4,50.2,1028,45.4%,0
Growing Rites of Itlimoc,G,R,5381,25.1,50.2,900,49.0%,0
Pit of Offerings,,U,44451,46.2,50.2,7010,46.4%,0
Frilled Cave-Wurm,U,C,33966,12.2,50.1,5398,48.4%,0
Broodrage Mycoid,B,C,95399,44.4,50.1,15533,48.7%,0
"Matzalantli, the Great Door",,R,9216,38.8,50.0,1545,47.3%,0
Disruptor Wanderglyph,,C,11819,4.8,50.0,1840,48.2%,0
Spelunking,G,U,12297,13.2,49.9,2107,51.2%,0
Disturbed Slumber,G,C,7404,3.2,49.9,1282,45.3%,0
Kaslem's Stonetree,G,C,30830,13.8,49.7,5361,47.5%,0
Deep Goblin Skulltaker,B,C,85103,42.9,49.6,14512,47.7%,0
Squirming Emergence,BG,R,10019,35.8,49.5,1582,45.3%,0
The Enigma Jewel,U,M,967,6.6,49.2,163,,0
Contested Game Ball,,U,940,0.8,49.1,133,,0
Malicious Eclipse,B,U,18673,21.3,49.1,3003,46.7%,0
Acolyte of Aclazotz,B,C,63345,26.0,49.1,10291,45.9%,0
Bloodthorn Flail,B,U,9617,9.8,49.1,1708,46.8%,0
Volatile Fault,,U,22696,22.7,49.0,3747,46.4%,0
Vito's Inquisitor,B,C,53903,24.8,48.9,8460,46.1%,0
Child of the Volcano,R,C,32542,13.5,48.7,5233,46.4%,0
Echoing Deeps,,R,7540,22.0,48.4,1182,48.6%,0
Deeproot Pilgrimage,U,R,5070,16.1,48.3,924,45.5%,0
Tectonic Hazard,R,C,4340,1.7,48.0,637,46.3%,0
Zoyowa's Justice,R,U,4904,4.7,47.8,786,43.5%,0
Hit the Mother Lode,R,R,1498,4.6,47.8,210,,0
Canonized in Blood,B,U,14761,20.8,45.4,2403,42.6%,0
The Millennium Calendar,,M,2533,19.1,45.0,465,,0
Orcish Bowmasters,B,R,47982,93.0,62.0,8717,72.7%,4
"Andúril, Flame of the West",,M,23942,99.6,60.7,4291,70.9%,4
Horn of Gondor,,R,47888,97.1,60.1,8907,67.2%,4
Witch-king of Angmar,B,M,22437,94.3,59.3,3844,67.7%,4
Éomer of the Riddermark,R,U,149600,92.1,58.9,24669,62.6%,4
"Fear, Fire, Foes!",R,U,160042,93.6,58.8,27579,61.1%,3
Rally at the Hornburg,R,C,454837,89.4,58.8,81590,61.5%,3
Nazgûl,B,U,135764,92.5,58.8,24169,62.9%,3
"Grishnákh, Brash Instigator",R,U,137618,89.6,58.6,24064,60.9%,3
The Torment of Gollum,B,C,400047,84.7,58.3,67297,60.2%,3
Dunland Crebain,B,C,414717,92.6,58.3,73690,60.7%,3
Voracious Fell Beast,B,U,137179,90.4,58.2,21565,59.5%,3
Gollum's Bite,B,U,140718,91.1,58.2,24952,59.8%,3
Ranger's Firebrand,R,U,140702,91.9,58.2,24750,59.4%,3
Rangers of Ithilien,U,R,44239,88.3,58.1,7399,62.8%,3
Palantír of Orthanc,,M,23431,97.9,58.1,4335,67.0%,3
Claim the Precious,B,C,369796,92.7,58.1,62626,59.0%,3
Saruman's Trickery,U,U,145152,85.4,58.0,24332,61.7%,3
"Mauhúr, Uruk-hai Captain",BR,U,97157,77.7,58.0,17050,62.3%,3
Shelob's Ambush,B,C,250685,64.2,58.0,39782,57.7%,2
Book of Mazarbul,R,U,118748,87.2,58.0,20803,60.2%,3
Foray of Orcs,R,U,144608,90.2,57.9,24601,58.8%,3
"Gollum, Patient Plotter",B,U,135519,91.8,57.8,24827,60.6%,3
"Arwen, Mortal Queen",WG,M,15950,79.3,57.6,2827,66.4%,3
Uruk-hai Berserker,B,C,358379,89.9,57.6,62769,58.1%,3
Easterling Vanguard,B,C,344836,90.8,57.5,61707,58.5%,3
Relentless Rohirrim,R,C,308339,76.3,57.5,50301,57.4%,3
"Gothmog, Morgul Lieutenant",B,U,119511,91.9,57.4,20062,59.2%,3
Mordor Muster,B,C,361262,90.1,57.4,65317,58.6%,3
Bitter Downfall,B,U,133614,93.0,57.3,22201,56.9%,3
Quarrel's End,R,C,312471,73.3,57.3,54329,57.1%,2
Smite the Deathless,R,C,370962,92.6,57.3,64925,57.9%,3
Shadow Summoning,WB,U,91105,64.0,57.2,15972,61.4%,2
Call of the Ring,B,R,42782,91.7,57.2,7639,64.0%,3
Sam's Desperate Rescue,B,C,284505,72.5,57.1,45563,54.6%,2
Improvised Club,R,C,325816,82.9,57.1,52564,54.6%,3
Haunt of the Dead Marshes,B,C,261614,75.7,57.0,47001,58.2%,3
Troll of Khazad-dûm,B,C,326252,88.5,56.9,57140,56.5%,3
"Éowyn, Fearless Knight",WR,R,36298,80.0,56.9,6116,60.5%,3
